"Stratum","District.mid","GenderHH.mid","ID.mid","hh_wt","AgeHH.base","HHSize.base","Time","FoodConsumption","Electric","Income","Baby","Alcohol","Crime","Private","Migration","Jobs","Mobile","Crime_Increase","Crime_Decreased","PrivateSchool","GenderofHead","District"
"Build - Inner Buffer","BAJURA","female",1004,12.92,55,10,1,83,0,428500,100,0,"Stayed the Same",0,0,0,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1004,12.92,55,10,2,52.5,100,0,0,0,"Decreased",0,0,0,100,0,100,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1013,3.23,38,5,1,55.5,0,40000,100,0,"Stayed the Same",1,0,100,0,0,0,100,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1013,3.23,38,5,2,21,100,0,0,0,"Decreased",0,100,0,0,0,100,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1776,3.23,26,4,1,68.5,0,71008,100,0,"Decreased",1,0,100,100,0,100,100,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1776,3.23,26,4,2,45,100,48500,0,0,"Don't Know",0,100,0,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1788,15.44,42,3,1,64,0,0,0,0,"Stayed the Same",0,0,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1788,15.44,42,3,2,20.5,0,0,0,0,"Stayed the Same",0,100,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1801,14.54,48,3,1,42,0,76500,100,0,"Stayed the Same",0,100,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1801,14.54,48,3,2,35,0,47500,100,0,"Stayed the Same",0,0,100,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1802,15.44,24,3,1,42,0,3000,100,0,"Decreased",0,100,0,0,0,100,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1802,15.44,24,3,2,38,0,2000,0,0,"Stayed the Same",0,0,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1803,11.16,31,6,1,58,0,38000,100,0,"Stayed the Same",0,0,100,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1803,11.16,31,6,2,33,0,0,0,0,"Stayed the Same",0,0,0,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1818,12.92,30,7,1,49,0,63000,100,0,"Stayed the Same",0,0,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1818,12.92,30,7,2,23.5,100,3500,100,0,"Don't Know",0,0,0,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1819,12.92,35,5,1,35,0,75000,0,0,"Stayed the Same",0,0,100,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1819,12.92,35,5,2,69.5,100,0,100,0,"Don't Know",0,0,0,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1820,10.02,29,7,1,68,0,13500,100,0,"Stayed the Same",0,0,100,100,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1820,10.02,29,7,2,23.5,100,12000,0,0,"Don't Know",0,0,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1821,10.02,49,7,1,37.5,0,46000,0,0,"Stayed the Same",0,100,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1821,10.02,49,7,2,23.5,100,28600,0,0,"Decreased",1,0,100,100,0,100,100,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1837,3.23,41,8,1,81,0,4000,0,0,"Stayed the Same",0,0,100,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1837,3.23,41,8,2,32,100,100000,0,0,"Decreased",1,0,100,100,0,100,100,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1838,11.16,62,7,1,78,0,75500,0,0,"Stayed the Same",0,0,0,0,0,0,0,"female","BAJURA"
"Build - Inner Buffer","BAJURA","female",1838,11.16,62,7,2,17.5,100,6000,0,0,"Decreased",0,0,0,100,0,100,0,"female","BAJURA"
